fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,37,Cancer,0.6137295081967213,0.6137295081967213
1,1,07,Cancer,0.6184380842801669,0.6184380842801669
1,1,55,Cancer,0.6077248038624019,0.6077248038624019
1,1,26,Healthy,0.8937423455998134,0.10625765440018664
1,1,61,Healthy,0.8894488188976378,0.11055118110236217
1,1,78,Healthy,0.8921658986175115,0.1078341013824885
1,2,55,Cancer,0.6016898008449004,0.6016898008449004
1,2,07,Cancer,0.6065007910254566,0.6065007910254566
1,2,37,Cancer,0.6068135245901639,0.6068135245901639
1,2,61,Healthy,0.8983307086614173,0.10166929133858271
1,2,78,Healthy,0.9013824884792627,0.09861751152073728
1,2,26,Healthy,0.8941505802764332,0.10584941972356676
1,3,07,Cancer,0.6338271249820221,0.6338271249820221
1,3,37,Cancer,0.6339651639344263,0.6339651639344263
1,3,55,Cancer,0.6222088111044055,0.6222088111044055
1,3,78,Healthy,0.9059907834101383,0.09400921658986172
1,3,61,Healthy,0.9097952755905512,0.09020472440944882
1,3,26,Healthy,0.9037149355572404,0.09628506444275964
2,1,53,Cancer,0.8468848996832101,0.8468848996832101
2,1,01,Cancer,0.8454698857736241,0.8454698857736241
2,1,05,Cancer,0.842493091802272,0.842493091802272
2,1,59,Healthy,0.8321628152847002,0.16783718471529985
2,1,80,Healthy,0.8362820289349835,0.1637179710650165
2,1,63,Healthy,0.8399153737658674,0.16008462623413255
2,2,53,Cancer,0.8260295670538543,0.8260295670538543
2,2,05,Cancer,0.81486030089039,0.81486030089039
2,2,01,Cancer,0.8279465212876428,0.8279465212876428
2,2,80,Healthy,0.8151908663064319,0.1848091336935681
2,2,63,Healthy,0.8067700987306065,0.19322990126939354
2,2,59,Healthy,0.8235916024769673,0.17640839752303272
2,3,01,Cancer,0.8220404984423676,0.8220404984423676
2,3,05,Cancer,0.8342032545287074,0.8342032545287074
2,3,53,Cancer,0.8255015839493136,0.8255015839493136
2,3,59,Healthy,0.8163419423047878,0.18365805769521215
2,3,63,Healthy,0.8194640338504936,0.1805359661495064
2,3,80,Healthy,0.8206379640927314,0.17936203590726862
