fold,i_model,i_slide,slide_class,slide_accuracy,perc_cancer
1,1,55,Cancer,0.5697042848521424,0.5697042848521424
1,1,07,Cancer,0.5791744570688911,0.5791744570688911
1,1,37,Cancer,0.5765881147540983,0.5765881147540983
1,1,78,Healthy,0.8695852534562212,0.13041474654377883
1,1,61,Healthy,0.8728188976377953,0.1271811023622047
1,1,26,Healthy,0.8722225462179973,0.12777745378200267
1,2,55,Cancer,0.5902232951116475,0.5902232951116475
1,2,07,Cancer,0.5898173450309219,0.5898173450309219
1,2,37,Cancer,0.59375,0.59375
1,2,61,Healthy,0.8491338582677166,0.1508661417322834
1,2,78,Healthy,0.8631336405529954,0.13686635944700465
1,2,26,Healthy,0.8483116580159795,0.15168834198402048
1,3,07,Cancer,0.5916870415647921,0.5916870415647921
1,3,55,Cancer,0.5847917923958962,0.5847917923958962
1,3,37,Cancer,0.600068306010929,0.600068306010929
1,3,78,Healthy,0.8972350230414746,0.10276497695852538
1,3,26,Healthy,0.897999650084563,0.10200034991543705
1,3,61,Healthy,0.8917795275590551,0.1082204724409449
2,1,53,Cancer,0.8426610348468849,0.8426610348468849
2,1,05,Cancer,0.8495548050353086,0.8495548050353086
2,1,01,Cancer,0.8475467289719626,0.8475467289719626
2,1,80,Healthy,0.8674830050549067,0.13251699494509328
2,1,63,Healthy,0.8589562764456982,0.14104372355430184
2,1,59,Healthy,0.8693173236671198,0.13068267633288022
2,2,05,Cancer,0.8234571691740866,0.8234571691740866
2,2,01,Cancer,0.8168483904465212,0.8168483904465212
2,2,53,Cancer,0.8083421330517423,0.8083421330517423
2,2,80,Healthy,0.8282639009935506,0.17173609900644937
2,2,59,Healthy,0.8340129889744752,0.16598701102552482
2,2,63,Healthy,0.842031029619182,0.15796897038081803
2,3,05,Cancer,0.8351243475591035,0.8351243475591035
2,3,01,Cancer,0.8333333333333334,0.8333333333333334
2,3,53,Cancer,0.8297254487856388,0.8297254487856388
2,3,59,Healthy,0.861576801087449,0.13842319891255095
2,3,63,Healthy,0.8638928067700987,0.13610719322990128
2,3,80,Healthy,0.8638225553425135,0.1361774446574865
