Dataset,Network,Accuracy,Precision,Recall,F1-score
1,ResNet50,70.5$\pm$0.5,63.1$\pm$1.2,34.8$\pm$1.4,44.8$\pm$1.3
1,ResNet50(pre-trained),72.0$\pm$0.9,66.4$\pm$2.0,37.5$\pm$2.0,48.0$\pm$2.1
1,DenseNet201,62.3$\pm$0.5,40.7$\pm$5.3,24.6$\pm$11.1,30.1$\pm$10.8
1,DenseNet201(pre-trained),54.3$\pm$9.7,35.7$\pm$5.1,35.4$\pm$12.8,34.2$\pm$4.1
2,ResNet50,74.4$\pm$1.9,83.3$\pm$2.9,46.3$\pm$3.8,59.5$\pm$3.8
2,ResNet50(pre-trained),74.0$\pm$0.1,83.9$\pm$0.5,44.6$\pm$0.7,58.2$\pm$0.5
2,DenseNet201,64.3$\pm$3.1,60.2$\pm$6.4,35.7$\pm$3.7,44.8$\pm$4.6
2,DenseNet201(pre-trained),72.0$\pm$0.7,80.1$\pm$0.1,41.5$\pm$2.4,54.6$\pm$2.0
3,ResNet50,81.6$\pm$0.7,71.7$\pm$1.2,73.8$\pm$0.9,72.8$\pm$1.0
3,ResNet50(pre-trained),81.3$\pm$1.5,72.1$\pm$3.0,71.6$\pm$0.6,71.8$\pm$1.8
3,DenseNet201,67.3$\pm$5.3,51.0$\pm$7.6,52.8$\pm$5.7,51.9$\pm$6.6
3,DenseNet201(pre-trained),78.5$\pm$0.8,67.0$\pm$0.5,69.5$\pm$3.5,68.2$\pm$1.8
1,ResNet50,70.5$\pm$0.5,63.1$\pm$1.2,34.8$\pm$1.4,44.8$\pm$1.3
1,ResNet50(pre-trained),72.0$\pm$0.9,66.4$\pm$2.0,37.5$\pm$2.0,48.0$\pm$2.1
1,DenseNet201,70.4$\pm$0.5,63.1$\pm$1.8,33.8$\pm$0.9,44.0$\pm$0.7
1,DenseNet201(pre-trained),70.6$\pm$0.7,63.4$\pm$1.6,34.3$\pm$1.7,44.5$\pm$1.8
2,ResNet50,74.4$\pm$1.9,83.3$\pm$2.9,46.3$\pm$3.8,59.5$\pm$3.8
2,ResNet50(pre-trained),74.0$\pm$0.1,83.9$\pm$0.5,44.6$\pm$0.7,58.2$\pm$0.5
2,DenseNet201,75.4$\pm$0.8,84.3$\pm$1.5,48.3$\pm$1.1,61.4$\pm$1.3
2,DenseNet201(pre-trained),73.3$\pm$0.7,81.7$\pm$2.8,44.4$\pm$0.3,57.5$\pm$0.6
3,ResNet50,81.6$\pm$0.7,71.7$\pm$1.2,73.8$\pm$0.9,72.8$\pm$1.0
3,ResNet50(pre-trained),81.3$\pm$1.5,72.1$\pm$3.0,71.6$\pm$0.6,71.8$\pm$1.8
3,DenseNet201,81.3$\pm$0.5,71.4$\pm$0.7,73.0$\pm$0.8,72.2$\pm$0.7
3,DenseNet201(pre-trained),81.5$\pm$1.3,71.2$\pm$2.4,74.5$\pm$2.4,72.8$\pm$1.9
