 ,Area,X,Y
1,290,5482.386,49.152
2,250,4018.796,374.000
3,453,3661.171,603.385
4,326,1786.543,745.831
5,370,3492.297,803.959
6,42,5509.500,1519.167
7,170,2312.294,1579.800
8,413,6156.575,1592.757
9,127,6332.217,1613.209
10,335,344.216,1674.181
11,87,485.236,1712.695
12,376,237.931,1755.473
13,451,332.507,1830.076
14,578,247.360,1944.009
15,324,4990.204,2096.009
16,126,438.897,2262.905
17,82,3644.451,2270.646
18,127,354.146,2387.602
19,457,3589.708,2552.463
20,455,3540.636,2690.953
21,44,3663.500,2753.000
22,536,6469.937,2991.683
